Location,Class Name,Class Type,First Class Time,No dog first class,Skip Day,misc
Warren,Beginner Obedience-Level 1 - $158,OBEDIENCE & MANNERS,First class is 12:00pm-2:00pm; no dogs​,,Skip day 9/3​,Sunday 8/27/23 at 12:00 PM with Heather Huff
Warren,Beginner Obedience-Level 1 - $159,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Monday 9/11/23 at 7 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $160,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Wednesday 9/20/23 at 7 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $161,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs​,,,Friday 9/29/23 at 7:30 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $162,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Monday 10/23/23 at 7 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $163,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Wednesday 11/1/23 at 7 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $164,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs​,,,Friday 11/10/23 at 7:30 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $165,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,Skip days 12/25 & 1/1,Monday 12/4/23 at 7 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $166,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Wednesday 12/13/23 at 7 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Friday 3/31/23 at 6:15 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Wednesday 4/5/23 at 7:00 PM with Heather Huff
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Monday 4/10/23 at 5:45 PM with April Courtney
