Location,Class Name,Class Type,First Class Info,Skip Day,Price,Instructor Name,Start Date and Time
Warren,Get Control! ,SPECIALTY BEHAVIOR CLASSES,,,$150 ,Heather Constiner,09/16/2023 04:00 PM
Warren,Get Control! ,SPECIALTY BEHAVIOR CLASSES,,,$150 ,Heather Constiner,10/28/2023 04:00 PM
Warren,Get Control! ,SPECIALTY BEHAVIOR CLASSES,,,$150 ,Heather Constiner,12/09/2023 04:00 PM
Warren,Fearful & Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs,,$190 ,Heather Constiner,04/15/2023 05:30 PM
Warren,Fearful & Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs,Skip day 7/1,$190 ,Heather Constiner,06/03/2023 05:30 PM
Warren,Fearful & Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs,,$190 ,Heather Constiner,07/22/2023 05:30 PM
Warren,Fearful & Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs,,$190 ,Heather Constiner,09/09/2023 05:30 PM
Warren,Fearful & Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs,,$190 ,Heather Constiner,10/28/2023 05:30 PM
Warren,Reactive Dog Class - Level 1 ,SPECIALTY BEHAVIOR CLASSES,,First class is 7:15pm-8:45pm; no dogs,$220 ,Heather Huff,05/16/2023 07:15 PM
Warren,Reactive Dog Class - Level 1 ,SPECIALTY BEHAVIOR CLASSES,,First class is 7:15pm-8:45pm; no dogs,$220 ,Heather Huff,07/11/2023 07:15 PM
Warren,Intro to Tricks ,FUN CLASSES,,,$139 ,April Courtney,08/11/2023 03:45 PM
Warren,Brain Works for Dogs - Level 1 ,FUN CLASSES,,Skip day 5/28,$139 ,April Courtney,05/12/2023 03:45 PM
Warren,Brain Works for Dogs - Level 2 ,FUN CLASSES,,,$139 ,April Courtney,06/30/2023 03:45 PM
Warren,Indoor Games for Dogs ,MINI CLASSES,,,$20 ,Heather Constiner,04/01/2023 02:30 PM
Warren,Polite Greetings ,MINI CLASSES,,,$20 ,Heather Huff,05/24/2023 07:00 PM
Warren,Fun for Fido (A - F),MINI CLASSES,,,$20 ,Heather Huff,05/17/2023 07:00 PM
Warren,Fun for Fido (A - F),MINI CLASSES,,,$20 ,Heather Huff,05/31/2023 07:00 PM
Warren,Fun for Fido (A - F),MINI CLASSES,,,$20 ,with April,
